题号,题目类型,问题,选项A,选项B,选项C,选项D,正确答案,难度等级,受众,出处Session,解析
1,单选,在 AWS re:Invent 2025 上发布的 Lambda Durable Functions 最长可以支持多久的执行时间？,15 分钟,1 小时,1 天,1 年,D,记忆,非技术人群,CNS380,"Lambda Durable Functions 支持长达 1 年的执行超时时间，这使得它可以处理需要等待人工审批、长时间业务流程编排等场景。通过检查点（checkpoint）和重放（replay）机制，函数可以暂停执行并在需要时恢复，无需持续占用计算资源。"
2,多选,"关于 Lambda Durable Functions 的检查点（Checkpoint）和重放（Replay）机制，以下说法正确的是？","检查点允许在事件处理过程中保存进度，可用于故障恢复","重放机制会跳过已完成的检查点，避免重复执行已完成的工作",每次重放都会使用最新版本的函数代码,重放过程中会重新执行所有有副作用的操作,"A, B",理解,技术人群,CNS380,"A 正确：检查点功能允许保存执行进度，类似于在执行过程中按""保存""按钮，可用于故障恢复和暂停执行。B 正确：重放机制会从头到尾重新运行事件处理器，但会跳过已完成的检查点，不会重做已完成的工作或副作用。C 错误：重放时使用相同的函数版本，生命周期固定到特定版本，确保一致性。D 错误：重放过程中不会重新执行已完成的步骤，对于昂贵、延迟敏感或有副作用的步骤特别有用。"
3,单选,AWS Lambda Managed Instances 引入了哪个新概念来配置实例偏好？,执行环境（Execution Environment）,容量提供者（Capacity Provider）,资源组（Resource Group）,服务配额（Service Quota）,B,记忆,技术人群,CNS376,"Lambda Managed Instances 引入了""容量提供者（Capacity Provider）""概念，允许用户选择运行 Lambda 函数的具体实例类型。这个新功能支持多并发（Multi-concurrency），使同一执行环境可以处理多个请求，并可结合 EC2 定价激励（储蓄计划、预留实例）实现成本优化。"
4,多选,"您正在为一个 SaaS 应用设计多租户架构。您有 50,000 个租户，每个租户每天只调用几次 Lambda 函数。关于使用 Lambda Tenant Isolation 模式，以下哪些考虑是正确的？","每个租户会有独立的执行环境，因此会有独立的冷启动",租户隔离模式支持预置并发（Provisioned Concurrency）来减少冷启动,"至少需要 50,000 个执行环境，会消耗更多并发配额,租户 ID 需要在创建函数前预先注册","A, C",应用,技术人群,CNS381,"A 正确：冷启动是按租户的，每个租户都有自己的执行环境，因此会有独立的冷启动。低频调用的租户每次调用可能都是冷启动。B 错误：当前不支持预置并发，因为无法预先知道所有租户。C 正确：10 个租户意味着至少 10 个执行环境，50,000 个租户会消耗相应的并发配额。D 错误：支持无限数量的租户，无需预注册。"
5,单选,Amazon ECS Express Mode 的主要价值是什么？,提供更高的容器运行性能,"大幅简化容器部署配置，将数小时配置缩短为数秒",降低容器运行成本,提供更强的容器安全隔离,B,记忆,非技术人群,CNS379,"ECS Express Mode 的核心价值是简化部署体验，将传统需要配置任务定义、负载均衡器、证书、安全组等大量资源的部署过程，简化为只需提供容器镜像、任务执行角色和基础设施角色即可。演讲者在会议中强调""将数小时的配置转变为数秒的执行""。Express Mode 本身完全免费，用户只需为实际消耗的资源付费。"
6,单选,"在 Amazon ECS Express Mode 中，一个负载均衡器最多可以被多少个 Express Mode 服务共享？",10 个,25 个,50 个,无限制,B,理解,技术人群,CNS379,"ECS Express Mode 支持同一个负载均衡器被最多 25 个服务共享。这个机制有助于成本优化，因为用户只需为一个负载均衡器付费，而不是每个服务都需要独立的负载均衡器。演示中显示了 6 个服务规则共享同一个负载均衡器的实例。"
7,多选,Amazon EKS Capabilities 是 EKS 服务的新功能层。以下哪些是 EKS Capabilities 提供的托管功能？,基于 Argo CD 的完全托管 GitOps,ACK (AWS Controllers for Kubernetes),Kro (Kube Resource Orchestrator) 平台抽象,托管的 Kubernetes 控制平面,"A, B, C",理解,技术人群,CNS378,"A、B、C 正确：这三个都是 EKS Capabilities 新功能层提供的托管功能。Argo CD 用于 GitOps，ACK 用于从 Kubernetes 管理 AWS 资源，Kro 提供平台抽象能力。D 错误：托管的 Kubernetes 控制平面是 EKS 的基础功能（2017年就已提供），不是 EKS Capabilities 新增的。"
8,单选,API Gateway HTTP 响应流式传输功能解决了之前的哪个限制？,API 请求速率限制,响应大小上限从 10MB 变为无限制,并发连接数限制,API 部署区域限制,B,记忆,非技术人群,API314,"API Gateway 的 HTTP 响应流式传输功能最重要的改进之一是移除了之前 10MB 的响应大小限制，现在没有最大响应大小限制。此外，该功能还改善了首字节时间（TTFB），最长流式会话时间可达 15 分钟，特别适用于 LLM 聊天机器人和大型负载传输等场景。"
9,单选,"在生产环境中使用 EKS MCP 服务器时，AWS 强烈建议采用哪种权限配置策略？",使用 CallPrivilegeTool 权限以获得完整功能,仅使用 InvokeMCP 和 ReadOnlyTools 权限,使用管理员权限以简化配置,根据需要动态切换权限级别,B,应用,技术人群,CNS358,"AWS 在 CNS358 会议中强烈建议生产环境仅使用只读工具。EKS MCP 服务器有三个关键权限：eks:InvokeMCP（列出所有可用工具）、ReadOnlyTools（只读工具访问）、CallPrivilegeTool（包括写入操作的所有工具）。由于 LLM 可能会产生幻觉导致意外删除资源，生产环境应从 InvokeMCP 和 ReadOnlyTools 开始，CallPrivilegeTool 仅在开发/测试环境使用。"
10,单选,"您正在设计一个 AI 聊天机器人应用，需要处理长时间运行的对话流程（包括人工审核环节）和实时流式输出。该应用有稳定的用户流量，需要优化成本。以下架构选择哪个最合适？",使用标准 Lambda + API Gateway REST API,使用 Lambda Durable Functions + API Gateway HTTP 响应流式传输 + Lambda Managed Instances,使用 ECS Fargate + Application Load Balancer,使用 Step Functions + Lambda + API Gateway,B,综合应用,技术人群,"CNS380, API314, CNS376","这个场景结合了多个需求，最佳方案是组合使用多个新功能：Lambda Durable Functions 支持长时间运行的对话流程（最长1年），可以等待人工审核等外部事件，通过检查点和重放机制实现可靠的状态管理；API Gateway HTTP 响应流式传输实现 AI 聊天机器人的实时流式输出，改善首字节时间，提升用户体验；Lambda Managed Instances 由于有稳定的用户流量，使用托管实例结合 EC2 定价激励（储蓄计划）可以大幅降低成本。其他选项的局限：A 选项标准 Lambda 无法处理长时间运行的流程，REST API 不支持流式传输；C 选项需要管理容器和基础设施，增加运维负担；D 选项 Step Functions 可以处理长流程，但不如 Durable Functions 简洁，且无法直接支持流式输出。"
